x,phylo_names,body_region,ecology,mean_roughness,mean_peak,sd_roughness,sd_peak
196,Duttaphrynus_melanostictus,VP,terrestrial_leaflitter,10.318749,49.09596442,2.224724842,8.825083512
197,Strauchbufo_raddei,DA,terrestrial_leaflitter,3.074881829,15.26541011,1.561250473,7.371172136
198,Strauchbufo_raddei,DP,terrestrial_leaflitter,1.676619766,9.226942251,0.523246094,2.315404758
199,Strauchbufo_raddei,VA,terrestrial_leaflitter,2.602745924,11.76541022,0.39682288,3.009859247
200,Strauchbufo_raddei,VP,terrestrial_leaflitter,4.351305138,23.75439817,1.280306934,6.848115317
201,Rhinella_spinulosa,DA,terrestrial_leaflitter,5.898983508,30.02618017,2.978786751,20.52090451
202,Rhinella_spinulosa,DP,terrestrial_leaflitter,5.512857296,35.26037167,3.860701939,17.66591578
203,Rhinella_spinulosa,VA,terrestrial_leaflitter,6.891224945,36.25585417,1.223336534,12.51290599
204,Rhinella_spinulosa,VP,terrestrial_leaflitter,8.522040135,31.29232817,2.290429932,6.554859458
205,Nannophryne_variegata,DA,terrestrial_leaflitter,2.496898183,9.927551875,1.179588888,3.338580868
206,Nannophryne_variegata,DP,terrestrial_leaflitter,2.007223722,9.202060166,0.658688959,2.610167909
207,Nannophryne_variegata,VA,terrestrial_leaflitter,2.126731383,10.89945711,0.607677307,5.132719806
208,Nannophryne_variegata,VP,terrestrial_leaflitter,4.193403028,14.19340402,1.860716081,3.548548797
209,Bufotes_viridis,DA,terrestrial_burrower,5.327376826,26.5094225,2.3149474,10.76409248
210,Bufotes_viridis,DP,terrestrial_burrower,4.159613877,21.803212,1.112454317,5.132357299
211,Bufotes_viridis,VA,terrestrial_burrower,4.551837753,16.23984233,2.812421933,8.477670275
212,Bufotes_viridis,VP,terrestrial_burrower,6.194425313,18.48133225,4.08236158,7.819689989
213,Calyptocephalella_gayi,DA,semiaquatic,4.992587732,23.804404,1.574729418,3.869112716
214,Calyptocephalella_gayi,DP,semiaquatic,8.081584652,30.09977767,2.67657634,10.11629092
215,Calyptocephalella_gayi,VA,semiaquatic,2.115753755,8.758773333,0.305113728,2.871916588
216,Calyptocephalella_gayi,VP,semiaquatic,1.790147686,10.905364,0.967360852,5.32055779
217,Cardioglossa_leucomystax,DA,terrestrial_torrent,3.055362663,14.795429,0.535783933,6.146974982
218,Cardioglossa_leucomystax,DP,terrestrial_torrent,1.174832819,5.501203667,0.337332903,0.154325017
219,Cardioglossa_leucomystax,VA,terrestrial_torrent,1.108568479,6.3916216,0.210224888,4.043732265
220,Cardioglossa_leucomystax,VP,terrestrial_torrent,2.456240567,12.0819357,1.700465294,8.528290369
221,Cardioglossa_pulchra,DA,terrestrial_torrent,1.861451476,7.170471884,0.960317556,2.251661024
222,Cardioglossa_pulchra,DP,terrestrial_torrent,2.629715738,9.677023502,1.496452002,5.244346725
223,Cardioglossa_pulchra,VA,terrestrial_torrent,0.951551471,4.3976042,0.3346734,0.38053879
224,Cardioglossa_pulchra,VP,terrestrial_torrent,1.290939981,5.121929433,0.36003597,1.582689232
225,Centrolene_geckoideum,DA,arboreal,3.179595212,21.09942617,1.800274639,12.51936457
226,Centrolene_geckoideum,DP,arboreal,2.737709207,20.72641084,0.287330003,3.978733309
227,Centrolene_geckoideum,VA,arboreal,4.919203102,28.749322,1.877590591,11.19013369
228,Centrolene_geckoideum,VP,arboreal,3.764620044,17.60454084,0.354568207,2.224961385
229,Nymphargus_grandisonae,DA,arboreal,1.948776524,9.579387555,0.500960815,1.928197378
230,Nymphargus_grandisonae,DP,arboreal,1.707977864,11.34545255,0.444102286,2.07368713
231,Nymphargus_grandisonae,VA,arboreal,3.905410517,15.244787,0.656766647,2.829980355
232,Nymphargus_grandisonae,VP,arboreal,4.016740609,19.09750333,0.79029901,5.152378958
233,Centrolene_lynchi,DA,arboreal,2.548266886,17.35077117,0.402178333,2.93421144
234,Centrolene_lynchi,DP,arboreal,1.752774695,10.27423768,0.65627695,3.550310051
235,Centrolene_lynchi,VA,arboreal,3.358416209,14.36830767,0.894851106,6.906844796
236,Centrolene_lynchi,VP,arboreal,4.618656136,17.006861,0.728227504,3.943232758
237,Ceratophrys_cranwelli,DA,terrestrial_burrower,5.616892133,31.56319634,0.674717538,12.77981159
238,Ceratophrys_cranwelli,DP,terrestrial_burrower,6.151250702,38.252108,1.319818722,18.32817885
239,Ceratophrys_cranwelli,VA,terrestrial_burrower,4.939921476,18.74374167,1.103216336,3.086474918
240,Ceratophrys_cranwelli,VP,terrestrial_burrower,6.236302461,32.725443,3.036949815,6.952683419
241,Chacophrys_pierottii,DA,terrestrial_burrower,4.574225268,20.37118267,1.070514231,4.049582476
242,Chacophrys_pierottii,DP,terrestrial_burrower,3.33452635,15.728069,1.497135398,7.114614436
243,Chacophrys_pierottii,VA,terrestrial_burrower,3.292940042,13.29019153,0.618969874,4.099112128
244,Chacophrys_pierottii,VP,terrestrial_burrower,3.842777994,15.4663045,2.239104068,4.955863516
245,Charadrahyla_taeniopus,DA,arboreal,0.771067886,3.295282633,0.204172602,0.491322623
246,Charadrahyla_taeniopus,DP,arboreal,0.368604271,2.578878967,0.266081005,0.512947395
247,Charadrahyla_taeniopus,VA,arboreal,1.964243939,8.295794,1.57126661,6.093145143
248,Charadrahyla_taeniopus,VP,arboreal,3.596776468,21.964876,0.894923799,7.390506942
249,Cochranella_granulosa,DA,arboreal,1.415025139,8.214457075,0.553734241,1.837460612
250,Cochranella_granulosa,DP,arboreal,1.792553854,10.61218838,0.465442616,2.788067036
251,Cochranella_granulosa,VA,arboreal,4.446299426,17.03123842,1.259998132,4.619554659
252,Cochranella_granulosa,VP,arboreal,5.09649248,18.44209,1.080362689,5.390582413
253,Colostethus_inguinalis,DA,terrestrial_torrent,0.788928255,5.067591134,0.469836671,2.804781123
254,Colostethus_inguinalis,DP,terrestrial_torrent,0.955541416,5.729826233,0.380448386,2.395689766
255,Colostethus_inguinalis,VA,terrestrial_torrent,1.875002786,8.248014667,1.092652469,1.471790543
256,Colostethus_inguinalis,VP,terrestrial_torrent,1.334344561,7.053703867,0.30687134,1.630339311
257,Conraua_crassipes,DA,semiaquatic,2.223522652,10.25551845,0.79713359,3.403287962
258,Conraua_crassipes,DP,semiaquatic,2.067002409,11.75335467,0.527912352,3.133735051
259,Conraua_crassipes,VA,semiaquatic,3.544128315,14.42990022,1.521101716,8.531135
260,Conraua_crassipes,VP,semiaquatic,3.103574372,16.34093967,0.551325242,4.506665122
261,Corythomantis_greeningi,DA,terrestrial_burrower,1.54505631,10.29122518,0.768442354,5.890099231
262,Corythomantis_greeningi,DP,terrestrial_burrower,3.715129588,15.5153728,1.455035832,6.698452652
263,Corythomantis_greeningi,VA,terrestrial_burrower,5.647300276,26.95577333,1.429694195,5.712081542
264,Corythomantis_greeningi,VP,terrestrial_burrower,6.193578197,38.60705,3.064522871,16.98120931
265,Craugastor_alfredi,DA,terrestrial_leaflitter,3.38449573,17.888997,0.852002474,3.913435641
266,Craugastor_alfredi,DP,terrestrial_leaflitter,2.089085143,12.07041867,0.487902301,3.188845425
267,Craugastor_alfredi,VA,terrestrial_leaflitter,2.276486822,11.02758134,1.019791645,5.227326884
268,Craugastor_alfredi,VP,terrestrial_leaflitter,2.521588683,8.747071665,0.705878035,2.412844031
269,Craugastor_megacephalus,DA,terrestrial_leaflitter,3.358272592,15.9873124,0.84615722,3.667710642
270,Craugastor_megacephalus,DP,terrestrial_leaflitter,3.960947938,19.84816513,1.283179282,7.685137076
271,Craugastor_megacephalus,VA,terrestrial_leaflitter,4.391778305,17.48966971,2.825242696,9.430709369
272,Craugastor_megacephalus,VP,terrestrial_leaflitter,3.630722865,14.8794002,2.04358313,6.775730224
273,Crinia_parinsignifera,VA,terrestrial_torrent,7.810796492,34.06965067,0.827808556,7.900437586
274,Crinia_parinsignifera,VP,terrestrial_torrent,5.698557962,29.779956,2.057580274,17.2025146
275,Crossodactylus_schmidti,DA,terrestrial_torrent,1.165505044,6.166306283,0.445239982,2.010211522
276,Crossodactylus_schmidti,DP,terrestrial_torrent,1.545695942,8.48978805,0.608107617,3.632223504
277,Crossodactylus_schmidti,VA,terrestrial_torrent,1.107536339,6.389914417,0.605007686,3.870787186
